res_cod_municipio,int_cod_municipio,records
315220,315220,2441
431130,431130,2439
210317,210467,2435
170255,170255,2433
311660,311660,2431
292620,290320,2430
150150,150080,2429
292840,292840,2429
210790,210790,2423
250040,250400,2421
150275,150275,2420
291220,290280,2417
292740,291920,2417
354100,354850,2417
230120,230210,2415
270570,270800,2414
290890,291080,2414
314110,314930,2413
330045,330350,2412
411200,411200,2412
500568,500568,2411
292060,292900,2404
320020,320020,2404
353350,353350,2404
353790,353790,2404
130240,130240,2403
520510,520510,2403
230655,230020,2402
130185,130185,2401
231160,231160,2401
210710,210710,2400
290630,290630,2400
311910,312090,2398
240220,241220,2392
313720,313720,2392
210927,210860,2391
150030,150030,2390
231200,231290,2388
292550,292550,2388
220780,220780,2387
230700,231180,2387
355250,352310,2387
220620,221100,2384
411010,411070,2384
211300,211300,2380
354630,354630,2372
500325,500325,2368
315720,315720,2366
410860,410860,2366
231220,231220,2365
293320,291610,2365
320140,320140,2362
431570,431570,2360
311930,311930,2355
270510,270430,2352
231070,231070,2350
130310,130310,2349
352990,354260,2349
120030,120030,2343
521308,521308,2343
270140,270860,2340
130063,130063,2336
350660,353060,2335
510320,510320,2333
210810,210810,2332
351280,351280,2332
353130,353130,2332
420940,420940,2330
320501,320320,2329
230770,230765,2328
353110,352210,2326
520870,520140,2325
150616,150616,2324
353950,353950,2321
270040,270040,2319
250600,250400,2316
352030,353620,2314
210870,210870,2310
350010,350010,2309
210030,210300,2305
250490,251370,2305
420850,420850,2304
320230,320230,2301
211040,211040,2300
210650,210650,2296
230435,231290,2296
220260,220260,2292
211150,211150,2285
310540,310540,2285
522160,522160,2284
270770,270770,2282
411150,411150,2280
240360,240810,2278
292700,292700,2274
280450,280450,2273
410880,410880,2272
210850,210850,2271
231030,231030,2271
353010,353010,2264
411995,411820,2264
260530,260990,2262
230170,230170,2261
260140,260140,2260
230660,230280,2259
500470,500470,2256
350220,350220,2250
353190,353190,2250
260590,261000,2249
330080,330080,2248
290540,293290,2244
290500,290500,2238
420230,420540,2238
150720,150240,2236
270520,270430,2236
411950,410690,2234
352610,354260,2229
350250,350250,2225
240710,240710,2223
270450,270450,2222
313330,313330,2221
120025,120010,2220
420810,421010,2215
260400,260950,2214
150095,150095,2212
261420,261420,2208
270710,270800,2208
270550,270550,2206
290340,290340,2206
313210,313210,2204
351518,351518,2199
260680,260960,2189
291210,291480,2189
432080,432080,2187
150178,150178,2184
420540,421660,2183
411790,411790,2180
250300,250750,2178
260950,260950,2175
320010,320010,2172
330475,330100,2172
510350,510350,2171
260820,261000,2170
260510,260510,2168
150030,160030,2166
355210,355210,2162
330190,330330,2159
150700,150700,2147
230960,230960,2147
313580,313580,2144
431890,431890,2143
310630,313130,2140
120042,120020,2136
150290,150240,2135
312360,312360,2129
210380,210380,2128
150442,150140,2127
421770,420140,2126
150195,150220,2118
251600,251600,2118
270310,270630,2117
270730,270430,2117
421970,421970,2117
130014,130014,2116
410050,410050,2116
130040,130040,2115
210542,210542,2115
290580,291480,2113
312410,312410,2113
292110,292110,2109
251620,251620,2106
250110,250400,2105
210400,210400,2098
421800,421800,2097
292360,292360,2096
420670,420900,2093
353620,353620,2087
260640,261640,2086
310090,310090,2082
316970,316970,2077
160040,160060,2076
280170,280210,2076
230780,230780,2074
521380,521380,2073
510730,510730,2070
330400,330400,2069
230940,230410,2068
220550,220550,2066
290570,292740,2063
350030,354910,2062
313920,313920,2060
270915,270860,2057
150030,160060,2056
291835,291835,2055
355030,355280,2055
251200,250400,2053
270680,270670,2051
250680,250400,2050
330023,330023,2050
292460,292460,2049
230400,231290,2048
350520,350520,2047
171320,171320,2046
350840,350840,2044
351740,351740,2043
150080,150442,2040
317200,317200,2038
353440,355030,2038
280140,280290,2037
314140,314140,2034
430310,431490,2030
291110,291110,2026
320040,320040,2024
110018,110018,2023
270070,270070,2023
210945,211130,2022
315690,315690,2020
293350,293350,2019
314860,314860,2018
430420,430420,2018
280570,280570,2017
311430,311430,2017
